layer,d_out,d_in,base_fro,base_rms
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_out.0,640,640,32.115912928420215,0.05018111395065659
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_q,640,640,44.92857069268849,0.07020089170732577
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_v,640,640,32.21278700676792,0.050332479698074875
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k,640,768,35.96044869134886,0.05129257532879922
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_out.0,640,640,8.55866847307841,0.013372919489185014
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_q,640,640,33.969471681254674,0.053077299501960426
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,640,768,21.70455960294917,0.030958533581381856
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_k,320,320,27.907118682223853,0.08720974588194955
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_out.0,320,320,18.6650328564504,0.058328227676407496
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,320,320,28.94631490348794,0.09045723407339981
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_v,320,320,20.18818923633121,0.06308809136353502
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_k,320,768,24.348217066713982,0.04911470792147211
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_out.0,320,320,2.994294266662134,0.00935716958331917
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_q,320,320,19.20782993899921,0.06002446855937253
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,320,768,7.211380269349636,0.014546643586645779
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_k,320,320,32.337406903013765,0.10105439657191802
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_out.0,320,320,16.77659896560813,0.052426871767525404
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_q,320,320,33.916517928874725,0.10598911852773352
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_v,320,320,17.809811122914493,0.05565565975910779
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_k,320,768,25.571230171288466,0.05158174406012336
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_out.0,320,320,2.783323645738984,0.008697886392934324
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_q,320,320,19.782030749620056,0.061818846092562676
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,320,768,9.334699919957059,0.018829759026998644
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_k,320,320,28.29982038454222,0.08843693870169443
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_out.0,320,320,15.31007495004064,0.047843984218877
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_q,320,320,32.698681488555735,0.10218337965173667
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_v,320,320,15.641276114409226,0.04887898785752883
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_k,320,768,23.304837067565092,0.04701002387956088
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_out.0,320,320,2.2342817686843888,0.006982130527138715
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_q,320,320,18.974495801891603,0.05929529938091126
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,320,768,8.535383046479323,0.017217393954435178
