timestamp,dataset,t,prompt,cfg,lora,block,seed,probe_acc,knn_acc,n_train,n_test,train_file
2026-08-09T05:08:39,pets,100,P3,off,none,up_2,0,0.5195,0.1837,3680,3669,pets_trainval_t100_P3_cfgoff.pt
2026-08-09T05:08:41,pets,100,P4,off,none,down_2,0,0.9455,0.5121,3680,3669,pets_trainval_t100_P4_cfgoff.pt
2026-08-09T05:08:41,pets,100,P4,off,none,mid,0,0.9406,0.3655,3680,3669,pets_trainval_t100_P4_cfgoff.pt
2026-08-09T05:08:42,pets,100,P4,off,none,up_0,0,0.7732,0.1627,3680,3669,pets_trainval_t100_P4_cfgoff.pt
2026-08-09T05:08:43,pets,100,P4,off,none,up_1,0,0.8583,0.3949,3680,3669,pets_trainval_t100_P4_cfgoff.pt
2026-08-09T05:08:44,pets,100,P4,off,none,up_2,0,0.5184,0.1856,3680,3669,pets_trainval_t100_P4_cfgoff.pt
2026-08-09T05:08:47,pets,200,P1,off,none,down_2,0,0.5735,0.2938,3680,3669,pets_trainval_t200_P1_cfgoff.pt
2026-08-09T05:08:48,pets,200,P1,off,none,mid,0,0.5726,0.2137,3680,3669,pets_trainval_t200_P1_cfgoff.pt
2026-08-09T05:08:49,pets,200,P1,off,none,up_0,0,0.4966,0.1425,3680,3669,pets_trainval_t200_P1_cfgoff.pt
2026-08-09T05:08:50,pets,200,P1,off,none,up_1,0,0.6618,0.3219,3680,3669,pets_trainval_t200_P1_cfgoff.pt
2026-08-09T05:08:51,pets,200,P1,off,none,up_2,0,0.4494,0.1834,3680,3669,pets_trainval_t200_P1_cfgoff.pt
2026-08-09T05:08:52,pets,200,P2,off,none,down_2,0,0.5816,0.2892,3680,3669,pets_trainval_t200_P2_cfgoff.pt
2026-08-09T05:08:53,pets,200,P2,off,none,mid,0,0.5691,0.2058,3680,3669,pets_trainval_t200_P2_cfgoff.pt
2026-08-09T05:08:54,pets,200,P2,off,none,up_0,0,0.4990,0.1349,3680,3669,pets_trainval_t200_P2_cfgoff.pt
2026-08-09T05:08:55,pets,200,P2,off,none,up_1,0,0.6710,0.3339,3680,3669,pets_trainval_t200_P2_cfgoff.pt
2026-08-09T05:08:55,pets,200,P2,off,none,up_2,0,0.4543,0.1832,3680,3669,pets_trainval_t200_P2_cfgoff.pt
2026-08-09T05:08:57,pets,200,P3,off,none,down_2,0,0.9689,0.6141,3680,3669,pets_trainval_t200_P3_cfgoff.pt
2026-08-09T05:08:58,pets,200,P3,off,none,mid,0,0.9580,0.4189,3680,3669,pets_trainval_t200_P3_cfgoff.pt
2026-08-09T05:08:59,pets,200,P3,off,none,up_0,0,0.8264,0.1804,3680,3669,pets_trainval_t200_P3_cfgoff.pt
2026-08-09T05:08:59,pets,200,P3,off,none,up_1,0,0.8956,0.4334,3680,3669,pets_trainval_t200_P3_cfgoff.pt
2026-08-09T05:09:00,pets,200,P3,off,none,up_2,0,0.5590,0.2077,3680,3669,pets_trainval_t200_P3_cfgoff.pt
2026-08-09T05:09:02,pets,200,P4,off,none,down_2,0,0.9654,0.5914,3680,3669,pets_trainval_t200_P4_cfgoff.pt
2026-08-09T05:09:03,pets,200,P4,off,none,mid,0,0.9613,0.4276,3680,3669,pets_trainval_t200_P4_cfgoff.pt
2026-08-09T05:09:03,pets,200,P4,off,none,up_0,0,0.8179,0.1780,3680,3669,pets_trainval_t200_P4_cfgoff.pt
2026-08-09T05:09:04,pets,200,P4,off,none,up_1,0,0.8902,0.4293,3680,3669,pets_trainval_t200_P4_cfgoff.pt
2026-08-09T05:09:05,pets,200,P4,off,none,up_2,0,0.5576,0.2090,3680,3669,pets_trainval_t200_P4_cfgoff.pt
2026-08-11T13:37:50,cub,300,P2,2.0,none,cond/down_2,0,0.2180,0.0739,5994,5794,cub_train_t300_P2_cfg2.0.pt
2026-08-11T13:37:51,cub,300,P2,2.0,none,cond/mid,0,0.2207,0.0868,5994,5794,cub_train_t300_P2_cfg2.0.pt
